dropped_product,retained_product
eba0001a.018,aba0001a.001
eba0002a.018,aba0002a.001
eba0003a.018,aba0003a.001
eba0004a.018,aba0004a.001
eba0005a.018,aba0005a.001
eaa0006a.018,aaa0006a.001
eaa0007a.018,aaa0007a.001
eaa0008a.018,aaa0008a.001
eaa0009a.018,aaa0009a.001
eaa0010a.018,aaa0010a.001
ala0001a.018,ala0002a.018
ane0003a.018,ane0004a.018
aua0006a.018,aua0005a.018
aaa0008a.018,aaa0007a.018
aha0010a.018,aha0009a.018
anc0012a.018,anc0011a.018
aba0014a.018,aba0013a.018
ahb0016a.018,ahb0015a.018
and0018a.018,and0017a.018
aue0019a.018,aue0020a.018
ahc0022a.018,ahc0021a.018
anb0024a.018,anb0023a.018
aud0026a.018,aud0025a.018
ahd0028a.018,ahd0027a.018
anf0030a.018,anf0029a.018
auc0032a.018,auc0031a.018
ana0033a.018,ana0034a.018
aub0035a.018,aub0036a.018
ala0037a.018,ala0038a.018
ane0039a.018,ane0040a.018
aua0042a.018,aua0041a.018
aaa0043a.018,aaa0044a.018
aha0046a.018,aha0045a.018
anc0047a.018,anc0048a.018
aba0050a.018,aba0049a.018
ahb0052a.018,ahb0051a.018
and0053a.018,and0054a.018
aue0056a.018,aue0055a.018
ahc0058a.018,ahc0057a.018
anb0060a.018,anb0059a.018
aud0062a.018,aud0061a.018
ahd0064a.018,ahd0063a.018
anf0065a.018,anf0066a.018
auc0068a.018,auc0067a.018
ana0070a.018,ana0069a.018
aub0071a.018,aub0072a.018
ala0074a.018,ala0073a.018
ane0076a.018,ane0075a.018
aua0078a.018,aua0077a.018
aaa0079a.018,aaa0080a.018
aha0081a.018,aha0082a.018
anc0084a.018,anc0083a.018
aba0086a.018,aba0085a.018
ahb0088a.018,ahb0087a.018
and0090a.018,and0089a.018
aue0091a.018,aue0092a.018
ahc0094a.018,ahc0093a.018
anb0096a.018,anb0095a.018
aud0098a.018,aud0097a.018
ahd0100a.018,ahd0099a.018
anf0101a.018,anf0102a.018
auc0103a.018,auc0104a.018
ana0106a.018,ana0105a.018
aub0107a.018,aub0108a.018
ala0109a.018,ala0110a.018
ane0111a.018,ane0112a.018
aua0113a.018,aua0114a.018
aaa0115a.018,aaa0116a.018
aha0118a.018,aha0117a.018
anc0120a.018,anc0119a.018
aba0122a.018,aba0121a.018
ahb0124a.018,ahb0123a.018
and0125a.018,and0126a.018
aue0128a.018,aue0127a.018
ahc0130a.018,ahc0129a.018
anb0132a.018,anb0131a.018
aud0134a.018,aud0133a.018
ahd0136a.018,ahd0135a.018
anf0138a.018,anf0137a.018
auc0139a.018,auc0140a.018
ana0142a.018,ana0141a.018
aub0144a.018,aub0143a.018
ala0002a.019,ala0001a.019
ane0003a.019,ane0004a.019
aua0006a.019,aua0005a.019
aaa0008a.019,aaa0007a.019
aha0010a.019,aha0009a.019
anc0012a.019,anc0011a.019
aba0013a.019,aba0014a.019
ahb0016a.019,ahb0015a.019
and0018a.019,and0017a.019
aue0019a.019,aue0020a.019
ahc0022a.019,ahc0021a.019
anb0024a.019,anb0023a.019
aud0026a.019,aud0025a.019
ahd0027a.019,ahd0028a.019
anf0030a.019,anf0029a.019
auc0032a.019,auc0031a.019
ana0033a.019,ana0034a.019
aub0035a.019,aub0036a.019
ala0037a.019,ala0038a.019
ane0039a.019,ane0040a.019
aua0042a.019,aua0041a.019
aaa0043a.019,aaa0044a.019
anc0047a.019,anc0046a.019
aba0048a.019,aba0049a.019
and0051a.019,and0052a.019
aue0054a.019,aue0053a.019
ahc0056a.019,ahc0055a.019
anb0058a.019,anb0057a.019
aud0060a.019,aud0059a.019
ahd0062a.019,ahd0061a.019
anf0064a.019,anf0063a.019
auc0066a.019,auc0065a.019
ana0068a.019,ana0067a.019
aub0070a.019,aub0069a.019
ala0072a.019,ala0071a.019
ane0074a.019,ane0073a.019
aua0075a.019,aua0076a.019
aaa0077a.019,aaa0078a.019
anc0080a.019,anc0081a.019
aba0083a.019,aba0082a.019
and0086a.019,and0085a.019
aue0088a.019,aue0087a.019
ahc0090a.019,ahc0089a.019
anb0092a.019,anb0091a.019
aud0094a.019,aud0093a.019
ahd0095a.019,ahd0096a.019
anf0098a.019,anf0097a.019
auc0100a.019,auc0099a.019
ana0102a.019,ana0101a.019
aub0103a.019,aub0104a.019
ala0106a.019,ala0105a.019
ane0108a.019,ane0107a.019
aua0110a.019,aua0109a.019
aaa0112a.019,aaa0111a.019
aha0113a.019,aha0114a.019
anc0116a.019,anc0115a.019
aba0118a.019,aba0117a.019
and0121a.019,and0120a.019
aue0123a.019,aue0122a.019
ahc0125a.019,ahc0124a.019
anb0126a.019,anb0127a.019
aud0128a.019,aud0129a.019
ahd0131a.019,ahd0130a.019
anf0133a.019,anf0132a.019
auc0135a.019,auc0134a.019
ana0137a.019,ana0136a.019
aub0138a.019,aub0139a.019
ala0002a.020,ala0001a.020
ane0003a.020,ane0004a.020
aua0006a.020,aua0005a.020
aaa0008a.020,aaa0007a.020
aha0010a.020,aha0009a.020
anc0012a.020,anc0011a.020
aba0013a.020,aba0014a.020
ahb0016a.020,ahb0015a.020
and0017a.020,and0018a.020
aue0019a.020,aue0020a.020
ahc0022a.020,ahc0021a.020
anb0024a.020,anb0023a.020
aud0026a.020,aud0025a.020
ahd0027a.020,ahd0028a.020
anf0030a.020,anf0029a.020
auc0032a.020,auc0031a.020
ana0034a.020,ana0033a.020
aub0035a.020,aub0036a.020
ala0037a.020,ala0038a.020
ane0040a.020,ane0039a.020
aua0042a.020,aua0041a.020
aaa0043a.020,aaa0044a.020
aha0046a.020,aha0045a.020
anc0047a.020,anc0048a.020
aba0050a.020,aba0049a.020
ahb0052a.020,ahb0051a.020
and0053a.020,and0054a.020
aue0056a.020,aue0055a.020
ahc0058a.020,ahc0057a.020
anb0060a.020,anb0059a.020
aud0062a.020,aud0061a.020
ahd0064a.020,ahd0063a.020
anf0065a.020,anf0066a.020
auc0068a.020,auc0067a.020
ana0070a.020,ana0069a.020
aub0072a.020,aub0071a.020
ala0074a.020,ala0073a.020
ane0076a.020,ane0075a.020
aua0078a.020,aua0077a.020
aaa0080a.020,aaa0079a.020
aha0081a.020,aha0082a.020
anc0084a.020,anc0083a.020
aba0086a.020,aba0085a.020
ahb0088a.020,ahb0087a.020
and0089a.020,and0090a.020
aue0091a.020,aue0092a.020
ahc0094a.020,ahc0093a.020
anb0096a.020,anb0095a.020
aud0098a.020,aud0097a.020
ahd0100a.020,ahd0099a.020
anf0102a.020,anf0101a.020
auc0104a.020,auc0103a.020
ana0106a.020,ana0105a.020
aub0107a.020,aub0108a.020
ala0109a.020,ala0110a.020
ane0112a.020,ane0111a.020
aua0113a.020,aua0114a.020
aaa0115a.020,aaa0116a.020
aha0118a.020,aha0117a.020
anc0120a.020,anc0119a.020
aba0121a.020,aba0122a.020
ahb0124a.020,ahb0123a.020
and0125a.020,and0126a.020
aue0128a.020,aue0127a.020
ahc0129a.020,ahc0130a.020
anb0132a.020,anb0131a.020
aud0133a.020,aud0134a.020
ahd0136a.020,ahd0135a.020
anf0138a.020,anf0137a.020
auc0140a.020,auc0139a.020
ana0142a.020,ana0141a.020
aub0144a.020,aub0143a.020
ala0145a.020,ala0146a.020
ane0148a.020,ane0147a.020
aua0150a.020,aua0149a.020
aaa0152a.020,aaa0151a.020
aha0154a.020,aha0153a.020
anc0156a.020,anc0155a.020
aba0157a.020,aba0158a.020
ahb0160a.020,ahb0159a.020
and0162a.020,and0161a.020
aue0164a.020,aue0163a.020
ahc0166a.020,ahc0165a.020
anb0168a.020,anb0167a.020
aud0170a.020,aud0169a.020
ahd0172a.020,ahd0171a.020
anf0173a.020,anf0174a.020
auc0175a.020,auc0176a.020
ana0178a.020,ana0177a.020
aub0179a.020,aub0180a.020
ala0182a.020,ala0181a.020
ane0184a.020,ane0183a.020
aua0185a.020,aua0186a.020
aaa0188a.020,aaa0187a.020
aha0189a.020,aha0190a.020
anc0191a.020,anc0192a.020
aba0194a.020,aba0193a.020
ahb0196a.020,ahb0195a.020
and0198a.020,and0197a.020
aue0200a.020,aue0199a.020
ahc0202a.020,ahc0201a.020
anb0204a.020,anb0203a.020
aud0206a.020,aud0205a.020
ahd0208a.020,ahd0207a.020
anf0210a.020,anf0209a.020
auc0212a.020,auc0211a.020
ana0214a.020,ana0213a.020
aub0215a.020,aub0216a.020
